Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,Qwen_Response
Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Gratitude + indirect refusal,Positive,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,سر، زحمت نہ کریں، آپ کو بہت ٹھیک ہے جانے دوں۔
Urdu,Refusing Offers,دوست,دوست,Low,Informal,Polite refusal,Negative,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,ٹھیک ہے، آپ کی بہت مہربانی، ابھی چاہیے جانے والی چائے
Urdu,Refusing Offers,ساس,بہو,High,Formal,Deferential refusal,Positive,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,دادا جان، یہ بس میرا ہیں۔ آپ کی دعوت کا بہت شکریہ۔
Urdu,Refusing Offers,بزرگ,نوجوان,High,Formal,Respectful hesitation,Positive,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,ٹھیک ہے بھائی، میں خود یہ بیان دیتا ہوں کہ میں اس سب ک
Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Face-saving refusal,Negative,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,سر، اگر آپ نے دعوت کی تو میں بہت سرکاری طور پر بس لوٹ لوں گا۔
Urdu,Refusing Offers,استاد,طالب علم,Medium,Formal,Careful refusal,Neutral,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,سر، اگر آپ کو بہت زحمت ہو یا اور تفصیلات پڑھنی ہوں تو میں
Urdu,Refusing Offers,خالہ,بھانجا,High,Formal,Respectful refusal,Negative,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,سر، اگر بھائی، مگر میری باجی دینا چاہے دو۔
Urdu,Refusing Offers,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Neutral,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,سر، بہت شکریہ، ابھی صرف تھوڑا سا بارہ میٹر لوٹنا پڑتا ہے
Urdu,Refusing Offers,دوست,دوست,Low,Informal,Light refusal,Neutral,چل یار، ایک اور گیم کھیل لیتے ہیں۔,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,جی چچا، آپ لوگوں کی بہت مہربانی！实际上，正确的回答应该是：جي چچا، غلطی ن
Urdu,Refusing Offers,ماموں,بھانجی,High,Formal,Deference,Negative,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,ٹھیک ہے باجی، اگر کبھی اس سے زائد کی ضرورت پڑے گا تو آؤ م
Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Polite closure,Neutral,اور کچھ چاہیے ہو تو بتائیے گا۔,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,سر، بہت شکریہ، مگر حالانکि ابھی تک میری زحمت کیلئے کچھ چ
Urdu,Refusing Offers,دوست,دوست,Low,Informal,Friendly refusal,Neutral,چل یار، میرے ساتھ جم چل۔,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,جی چچا، میں اور اتنا زحمت نہیں ٹھیک ہوں، آؤ میرے ساتھ
Urdu,Refusing Offers,بزرگ خاتون,نوجوان,High,Formal,Respectful restraint,Positive,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,دادا جان، وہ ایک میگر جان ہے، آپ پلا دینا چاہیے ہے۔
Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Soft refusal,Positive,چائے دوبارہ ڈال دوں؟,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,ٹھیک ہے، ابھی چاہ Erie سے ٹھیک ہی ڈال لوں گا۔
Urdu,Refusing Offers,چچا,بھتیجا,High,Formal,Deferential refusal,Negative,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,سر، اگر بہت لگ رہا ہے تو میں ٹھیک ہوں، صبح دعوت کا مکمل
Urdu,Invitation to a Meal,دوست,دوست,Medium,Informal,Courtesy + hesitation,Neutral,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,دادا جان، آج رات میں خود بھی ایکچھا ہوں۔ آپ کی دعوت میں شامل
Urdu,Invitation to a Meal,پڑوسی,پڑوسی,Medium,Formal,Polite acceptance,Neutral,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,دعوت کا بہت شکریہ، ابھی گا۔
Urdu,Invitation to a Meal,چچا,بھتیجا,High,Formal,Deferential acceptance,Positive,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,ضرور آنے دیجیے گا، اٹھر لوں گا۔
Urdu,Invitation to a Meal,دوست,دوست,Low,Informal,Friendly courtesy,Neutral,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,سر، اس بار میرا خالہ جان کی ضرورت پڑگا۔ آپ کی بہت شکریہ۔
Urdu,Invitation to a Meal,ساس,داماد,High,Formal,Respectful acceptance,Negative,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,ٹھیک ہے بھائی، آج رات میں ابھی صرف تھوڑا سا بیفیلڈ ضر
Urdu,Invitation to a Meal,کزن,کزن,Low,Formal,Polite acceptance,Negative,کل رات ہمارے ساتھ ڈنر کر لو۔,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,سر، اس بار میں اتنا دعوت نہیں ٹھیک ہوں۔
